trial,t0_iso,t1_iso,latency_s,detected,ssp_ms,target,robot
1,2026-05-27T17:59:22.175Z,2026-05-27T17:59:30.161Z,7.985,1,10000,sidecar,robot1
2,2026-05-27T17:59:46.313Z,2026-05-27T17:59:56.020Z,9.706,1,10000,sidecar,robot1
3,2026-05-27T18:00:02.338Z,2026-05-27T18:00:10.072Z,7.734,1,10000,sidecar,robot1
4,2026-05-27T18:00:26.407Z,2026-05-27T18:00:36.104Z,9.696,1,10000,sidecar,robot1
5,2026-05-27T18:00:50.266Z,2026-05-27T18:01:04.093Z,13.827,1,10000,sidecar,robot1
6,2026-05-27T18:01:18.270Z,2026-05-27T18:01:32.072Z,13.802,1,10000,sidecar,robot1
7,2026-05-27T18:01:48.172Z,2026-05-27T18:01:58.136Z,9.964,1,10000,sidecar,robot1
8,2026-05-27T18:02:14.308Z,2026-05-27T18:02:26.061Z,11.752,1,10000,sidecar,robot1
9,2026-05-27T18:02:40.259Z,2026-05-27T18:02:54.103Z,13.843,1,10000,sidecar,robot1
10,2026-05-27T18:03:08.396Z,2026-05-27T18:03:20.123Z,11.726,1,10000,sidecar,robot1
11,2026-05-27T18:03:34.192Z,2026-05-27T18:03:48.170Z,13.978,1,10000,sidecar,robot1
12,2026-05-27T18:04:02.276Z,2026-05-27T18:04:16.020Z,13.743,1,10000,sidecar,robot1
13,2026-05-27T18:04:22.354Z,2026-05-27T18:04:30.085Z,7.731,1,10000,sidecar,robot1
14,2026-05-27T18:04:44.310Z,2026-05-27T18:04:58.059Z,13.748,1,10000,sidecar,robot1
15,2026-05-27T18:05:14.343Z,2026-05-27T18:05:24.044Z,9.701,1,10000,sidecar,robot1
16,2026-05-27T18:05:38.303Z,2026-05-27T18:05:52.091Z,13.787,1,10000,sidecar,robot1
17,2026-05-27T18:05:58.370Z,2026-05-27T18:06:06.092Z,7.721,1,10000,sidecar,robot1
18,2026-05-27T18:06:20.274Z,2026-05-27T18:06:34.060Z,13.785,1,10000,sidecar,robot1
19,2026-05-27T18:06:50.209Z,2026-05-27T18:07:00.141Z,9.931,1,10000,sidecar,robot1
20,2026-05-27T18:07:16.397Z,2026-05-27T18:07:26.092Z,9.694,1,10000,sidecar,robot1
